order,ZIP Code,ZIP Name,County,ZIP Health Ranking Index Score,ZIP Health Rank,Health Factors Combined Index Score,Health Factors Combined Rank,"Teen Pregnancy per 1,000","Teen Pregnancy per 1,000 Z-Score",Teen Pregnancy Rank (of 937),Live Births 2019,Live Births 2020,Live Births 2019-2020,Very Low Birth Weight 2019 Count,Very Low Birth Weight 2019 Rate,Very Low Birth Weight 2020 Count,Very Low Birth Weight 2020 Rate,Very Low Birth Weight 2019-2020 Count,Very Low Birth Weight 2019-2020 Rate,Low Birth Weight 2019 Count,Low Birth Weight 2019 Rate,Low Birth Weight 2020 Count,Low Birth Weight 2020 Rate,Low Birth Weight 2019-2020 Count,Low Birth Weight 2019-2020 Rate,"Low Birthweight per 1,000","Low Birthweight per 1,000 Z-Score",Low Birthweight Rank (of 937),High School Education (%),High School Education Z-Score,High School Education Rank (of 937),Median Household Income ($),Median Household Income Z-Score,Median Household Income Rank (of 937),Quality of Life Rank (of 937),Population over 25 (2022 estimate),Low Education (%),Low Education Z-Score,Low Education Rank (of 937),,,,,,,
1,63123,Affton,"St. Louis,St. Louis City",-0.59,199,-0.58,196,2.25,-0.38,190,542,529,"1,071",x,x,x,x,x,x,40,7.38,33,6.24,73,6.82,52.27,-0.06,606,25.94,-1.09,119,61253,-0.35,251,396,"35,404",8.47,-0.45,333,,,,,,,
2,63011,Ballwin,St. Louis,-2.29,24,-2.41,26,1.61,-0.39,168,362,316,678,x,x,x,x,x,x,28,7.73,14,4.43,42,6.19,26.82,-0.27,292,13.26,-2.14,23,105586,-2.53,28,205,"25,089",2.88,-1.14,64,,,,,,,
3,63021,Ballwin,St. Louis,-1.94,30,-2,34,3.6,-0.35,230,647,564,"1,211",x,x,x,x,x,x,55,8.50,35,6.21,90,7.43,36.54,-0.19,411,12.93,-2.17,20,92201,-1.87,38,153,"39,277",2.71,-1.16,56,,,,,,,
4,63137,Bellefontaine Neighbors,"St. Louis,St. Louis City",1.29,878,1.21,869,33.04,0.26,809,335,300,635,11,3.28,6,2.00,17,2.68,60,17.91,61,20.33,121,19.06,112.06,0.44,847,32.11,-0.58,233,40845,0.65,721,859,"12,889",9.59,-0.31,405,,,,,,,
5,63134,Berkeley,St. Louis,1.04,838,0.98,827,22.19,0.03,672,200,220,420,x,x,x,x,x,x,33,16.50,28,12.73,61,14.52,86.28,0.23,789,35.46,-0.3,319,41113,0.64,714,798,"8,117",10.43,-0.21,460,,,,,,,
6,63144,Brentwood,St. Louis,-1.86,35,-1.91,35,0.38,-0.42,148,119,116,235,x,x,x,x,x,x,5,4.20,12,10.34,17,7.23,48.21,-0.09,566,5.89,-2.75,8,81863,-1.36,65,178,"6,933",1.62,-1.3,31,,,,,,,
7,63044,Bridgeton,St. Louis,-0.08,407,-0.35,281,8.34,-0.25,385,137,83,220,x,x,x,x,x,x,14,10.22,6,7.23,20,9.09,66.25,0.06,701,29.87,-0.76,183,61901,-0.38,240,768,"7,921",12.4,0.03,560,,,,,,,
8,63005,Chesterfield,St. Louis,-4.46,4,-4.82,4,0.98,-0.41,154,109,99,208,x,x,x,x,x,x,6,5.50,13,13.13,19,9.13,46.62,-0.1,550,5.61,-2.78,6,161364,-5.26,4,43,"13,272",0.87,-1.39,18,,,,,,,
9,63017,Chesterfield,St. Louis,-2.81,11,-3.03,11,1.19,-0.4,159,350,262,612,x,x,x,x,x,x,23,6.59,17,6.49,40,6.55,33.54,-0.21,373,11.99,-2.25,18,115095,-2.99,13,295,"31,008",1.86,-1.27,36,,,,,,,
10,63105,Clayton,"St. Louis,St. Louis City",-3.6,6,-3.87,6,0.22,-0.42,145,103,85,188,0,0.00,0,0.00,0,0.00,x,x,x,x,x,x,25.35,-0.28,274,7.05,-2.66,11,105597,-2.53,27,20,"10,493",2.66,-1.17,53,,,,,,,
